# 词 	 拼音 	 题型 	 词源 	 释义 	 释义来源 	 例句 	 例句出处 	 课本里出现次数
狡狯	jiǎo kuài	写	词典			可是我们不会认错那个经常在这一切矛盾中出现的{狡狯}的精灵。	在《人民报》创刊纪念会上的演说	3
瓠落	hù luò	写	词典	宽大空廓的样子	课本	剖之以为瓢，则{瓠落}无所容。	五石之瓠	3
癞头	lài tóu	写	词典	长黄癣的头；指头上长黄癣的人	新华	冥搜未已，一{癞头}蟆猝然跃去。	促织	3
白公姥	bái gōng mǔ	读	课本	禀告婆婆	课本	妾不堪驱使，徒留无所施，便可{白公姥}，及时相遣归。”	孔雀东南飞并序	3
相依为命	xiāng yī wéi mìng	读	成语	互相依靠着过日子。泛指互相依靠，谁也离不开谁	成语	臣无祖母，无以至今日；祖母无臣，无以终余年。母孙二人，更{相依为命}。	《陈情表》	3
眺望	tiào wàng	写	词典	从高处远望；观看;观赏	新华	为了想早早地看到那迎婚送亲的喜轿，翠翠还爬到屋后塔下去{眺望}。	边城（节选）	3
瞌睡	kē shuì	写	词典	由于困倦而进入睡眠或半睡眠状态；想睡觉打～ㄧ夜里没睡好，白天～得很	新华	他们常就{瞌睡}了，一觉醒来	秦腔	3
碣石	jié shí	写	词典	山名，在今河北昌黎西北	课本	斜月沉沉藏海雾，{碣石}潇湘无限路。	春江花月夜	3
磨砺	mó lì	写	词典			从深重的苦难与{磨砺}。	在民族复兴的历史丰碑上	3
笠子	lì zi	写	词典	箬笠	新华	取毡{笠子}戴上，拿了钥匙	林教头风雪山神庙	3
篱笆	lí bā	写	词典	用竹子、芦苇、树枝等编成的遮拦的东西，一般环绕在房屋、场地等的周围	新华	叫声“相扰”，便出{篱笆}门	林教头风雪山神庙	3
精湛	jīng zhàn	写	词典			今天的“匠”，已成为心思巧妙、技艺{精湛}、造诣高深的代名词。	以工匠精神雕琢时代品质	3
纶巾	guān jīn	都考	词典	配有青丝带的头巾	课本	羽扇{纶巾}，谈笑间，樯橹灰飞烟灭。	念奴娇·赤壁怀古	3
绫罗	líng luó	写	词典	泛指丝织品	新华	左手持刀尺，右手执{绫罗}。	孔雀东南飞并序	3
罗曼谛克	luó màn dì kè	写	词典	英语romantic的音译，也译为浪漫。有富于幻想、不守常规等意思	新华	他说她就喜欢起得这么怪，{罗曼谛克}	为了忘却的记念	3
翳翳	yì yì	写	词典	晦暗不明貌；草木茂密成荫貌	新华	景{翳翳}以将入，抚孤松而盘桓。	归去来兮辞并序	3
老聃	lǎo dān	都考	课本	即老子，孔子曾向他问过礼	课本	孔子师郯子、苌弘、师襄、{老聃}。	师说	3
自以为是	zì yǐ wéi shì	读	成语	是对。总以为自己是对的。形容主观，不虚心	成语	凡斗者必{自以为是}，而以人为非也。”《孟子·尽心下》众皆悦之，自以为是。	《荀子·荣辱》	3
自矜	zì jīn	写	词典	抬高自己；自我夸耀自矜自是｜以专长自矜	新华	企者不立，跨者不行，自见者不明，自是者不彰，自伐者无功，{自矜}者不长。	《老子》四章	3
舳舻	zhú lú	都考	课本	船头和船尾的并称，泛指首尾相接的船只	课本	{舳舻}千里，旌旗蔽空	赤壁赋	3
苗裔	miáo yì	写	词典	子孙后代帝高阳之苗裔	新华	帝高阳之{苗裔}兮，朕皇考曰伯庸。	离骚（节选）	3
荆轲	jīng kē	写	词典	战国末著名刺客。齐人。徙卫，人称庆卿。至燕，人称荆卿	新华	并适当拓展阅读其他史传名篇（如《{荆轲}刺秦王》《信陵君窃符救赵》《廉颇蔺相如列传》等）	五代史伶官传序	3
葳蕤	wēi ruí	写	词典	草木繁盛的样子，这里形容刺绣的花叶繁多而美丽	课本	妾有绣腰襦，{葳蕤}自生光	孔雀东南飞并序	3
虔诚	qián chéng	写	词典	恭敬而有诚意	新华	只是庄严而{虔诚}地给他拭着身子	百合花	3
蜀郡	shǔ jùn	写	词典	秦灭古蜀国，始置蜀郡『仍其旧，辖境包有今四川省中部大部分，治所在成都	新华			3
衅钟	xìn zhōng	读	课本	古代新钟铸成，宰杀牲口，取血涂钟行祭，叫作“衅钟”	课本	对曰：‘将以{衅钟}。’	齐桓晋文之事	3
衣帛	yì bó	都考	课本	穿丝织的衣服	课本	五十者可以{衣帛}矣	齐桓晋文之事	3
裘马	qiú mǎ	写	词典	轻裘肥马。形容生活豪华。语出《论语．雍也》赤之适齐也，乘肥马，衣轻裘	新华	独是成氏子以蠹贫，以促织富，{裘马}扬扬。	促织	3
览揆	lǎn kuí	写	词典	审察衡量。《离骚》皇览揆余初度兮，肇锡余以嘉名	新华	皇{览揆}余初度兮，肇锡余以嘉名。	离骚（节选）	3
觳觫	hú sù	都考	课本	形容恐惧战栗的样子	课本	吾不忍其{觳觫}，若无罪而就死地。’	齐桓晋文之事	3
诅咒	zǔ zhòu	写	词典	原指祈求鬼神降祸于所恨之人，后泛指咒骂否则厥口诅咒｜她要诅咒这不平的世道	新华	都竞相诽谤他，{诅咒}他。	在马克思墓前的讲话	3
谄媚	chǎn mèi	写	词典	巴结讨好谄媚权要	新华	那时候他们总得{谄媚}地讲	包身工	3
谈瀛	tán yíng	写	词典	唐李白《梦游天姥吟留别》﹕海客谈瀛洲，烟涛微茫信难求。后以谈瀛指谈论海外事	新华	海客{谈瀛}洲，烟涛微茫信难求；越人语天姥，云霞明灭或可睹。	梦游天姥吟留别	3
谣诼	yáo zhuó	写	词典	毁谤	课本	众女嫉余之蛾眉兮，{谣诼}谓余以善淫。	离骚（节选）	3
贬黜	biǎn chù	写	词典					3
跌宕起伏	diē dàng qǐ fú	写	词典			奏响了一篇篇{跌宕起伏}的演化乐章	“探界者”钟扬	3
辘辘	lù lù	写	词典	车行的声音	课本	雷霆乍惊，宫车过也；{辘辘}远听，杳不知其所之也。	阿房宫赋	3
进谏	jìn jiàn	写	词典	向君主或尊长直言规劝	新华	有直言{进谏}、警示君主的奏疏	第八单元	3
迤逦	yǐ lǐ	都考	词典	亦作迤。亦作迤里。亦作迤逦。亦作迤；曲折连绵貌	新华	{迤逦}不想来到沧州	林教头风雪山神庙	3
迷离惝恍	mí lí chǎng huǎng	写	成语	迷离凝，不分明；惝恍不真切，不清楚。形容凝而难以分辨清楚	成语	惟留二百余金，恰足两月余酒食费，一定{迷离惝恍}，如梦乍回。	《阅微草堂笔记·槐西杂志三》	3
逍遥	xiāo yáo	写	词典	悠然自得的样子逍遥自┰冢逍遥法外	新华	便事事{逍遥}自在了。	祝福	3
逶迤	wēi yí	写	词典	舒展的样子	课本	摐金伐鼓下榆关，旌旆{逶迤}碣石间。	燕歌行并序	3
遐观	xiá guān	写	词典	纵观;遍览；远眺	新华	策扶老以流憩，时矫首而{遐观}。	归去来兮辞并序	3
遑遑	huáng huáng	写	词典			胡为乎{遑遑}欲何之？	归去来兮辞并序	3
郡县	jùn xiàn	写	词典	指郡县的官员	课本	诏书切峻，责臣逋慢；{郡县}逼迫，催臣上道；州司临门，急于星火。	陈情表	3
鄱阳	pó yáng	写	词典	地名。春秋楚番邑，秦置番县，汉改鄱阳县。今改波阳县，在江西省东北部；指鄱阳湖	新华			3
醉醺醺	zuì xūn xūn	写	词典	亦作醉熏熏。亦作醉熏熏；半醉貌	新华	已经喝得{醉醺醺}的	祝福	3
里胥	lǐ xū	写	词典	管理乡里事务的小吏	课本	{里胥}猾黠，假此科敛丁口，每责一头，辄倾数家之产。	促织	3
针砭	zhēn biān	写	词典	①砭古代治病的石头针◇泛指金针治疗和砭石出血其人善医，尤得针砭之妙术	新华	杜牧总结秦朝覆亡教训，意在{针砭}时弊	六国论	3
长途跋涉	cháng tú bá shè	读	成语	跋涉翻山越岭、趟水过河。指远距离的翻山渡水。形容路途遥远，行路辛苦	成语	第六十六回岳夫人道‘……怎敢劳姐{长途跋涉}，决难从命。’	《说岳全传》	3
间行	jiàn xíng	读	课本	秘密地走	课本	世{间行}乐亦如此，古来万事东流水。	梦游天姥吟留别	3
闵凶	mǐn xiōng	写	词典	忧患凶丧之事	新华	臣密言：臣以险衅，夙遭{闵凶}。	陈情表	3
阙秦	quē qín	都考	课本	使秦国土地减少	课本	{阙秦}以利晋，唯君图之。”	烛之武退秦师	3
霓裳	ní cháng	都考	词典	神仙的衣裳。相传神仙以云为裳；借指云雾，云气	新华	轻拢慢捻抹复挑，初为《{霓裳}》后《六幺》。	琵琶行并序	3
韶光	sháo guāng	写	词典	美好的时光，多指春光	课本	朝飞暮卷，云霞翠轩；雨丝风片，烟波画船——锦屏人忒看的这{韶光}贱！	游园	3
顷襄	qǐng xiāng	写	词典	指战国楚顷襄王	新华	长子{顷襄}王立，以其弟子兰为令尹。	屈原列传	3
颔联	hàn lián	写	词典					3
颛顼	zhuān xū	写	词典	远古传说中的帝王∨高阳氏	新华			3
飘飖	piāo yáo	写	词典	随风飘动，形容动荡不安	课本	边庭{飘飖}那可度，绝域苍茫无所有。	燕歌行并序	3
馔玉	zhuàn yù	写	词典	像玉一样珍美的食品	课本	钟鼓{馔玉}不足贵，但愿长醉不愿醒。	将进酒	3
驰骋	chí chěng	写	词典	①骑马飞奔驰骋万里｜终日驰骋｜纵横驰骋。②田猎；驰射驰骋无度，戏乐笑语	新华	乘骐骥以{驰骋}兮，来吾道夫先路！	离骚（节选）	3
驾驭	jià yù	写	词典			曹雪芹是善于创造和{驾驭}语言的艺术大师	《红楼梦》	3
骐骥	qí jì	都考	课本	骏马	课本	乘{骐骥}以驰骋兮，来吾道夫先路！	离骚（节选）	3
骢马	cōng mǎ	写	词典	亦作騘马；青白色相杂的马	新华	金车玉作轮，踯躅青{骢马}，流苏金镂鞍。	孔雀东南飞并序	3
鱼凫	yú fú	写	词典	传说中古蜀国帝王名；鱼和凫。凫，野鸭	新华	蚕丛及{鱼凫}，开国何茫然！	蜀道难	3
鸷鸟	zhì niǎo	写	词典	凶猛的鸟，指鹰、雕等	课本	{鸷鸟}之不群兮，自前世而固然。	离骚（节选）	3
鹢首	yì shǒu	写	词典	船头。古代画鹢鸟于船头，故称；泛指船	新华			3
麂子	jǐ zi	写	词典	即麂	新华	代替野狗的是{麂子}的嘶声。	一个消逝了的山村	3
黄鹂	huáng lí	写	词典			映阶碧草自春色，隔叶{黄鹂}空好音。	蜀相	3
齐桓公	qí huán gōng	写	词典					3
一夫作难	yī fū zuò nàn	读	课本	指陈涉起义	课本	{一夫作难}而七庙隳	过秦论	2
一恸	yī tòng	写	词典	大恸	课本			2
一稔	yī rěn	都考	课本	庄稼成熟一次，引申为一年	课本	犹望{一稔}，当敛裳宵逝。	归去来兮辞并序	2
一针见血	yī zhēn jiàn xiě	读	成语	比喻说话直截了当，切中要害	成语	这不是把我们的毛病讲得{一针见血}么？不错，党八股中中国有，外国也有，可见是通病。	《反对党八股》	2
万籁	wàn lài	写	词典			借书满架，偃仰啸歌，冥然兀坐，{万籁}有声；而庭阶寂寂，小鸟时来啄食，人至不去。	项脊轩志	2
三匝	sān zā	都考	课本	三周	课本	绕树{三匝}，何枝可依？	短歌行	2
三闾	sān lǘ	写	词典	指屈原	新华	渔父见而问之曰：“子非{三闾}大夫欤？	屈原列传	2
上称帝喾	shàng chēng dì kù	都考	课本	往远处说提到帝喾（传说中的五帝之一）	课本	{上称帝喾}，下道齐桓，中述汤、武，以刺世事。	屈原列传	2
不以为然	bù yǐ wéi rán	读	成语	然是，对。不认为是对的。表示不同意或否定	成语	右臣先曾奏论前衙一役，只当招募，不当定差，执政{不以为然}。	《再乞罢详定役法状》	2
不怀好意	bù huái hào yì	读	成语	怀包藏。没安好心	成语	第二十七回武松听了这话，自家肚里寻思道‘这妇人{不怀好意}了。你看我且先耍他。’	《水浒传》	2
不惮	bù dàn	写	词典			我已经说过：我向来是{不惮}以最坏的恶意来推测中国人的。	记念刘和珍君	2
不羁	bù jī	写	词典	不受限制、拘束不羁之才｜放浪不羁	新华			2
不胜杯杓	bù shèng bēi sháo	都考	课本	禁不起多喝酒	课本	张良入谢，曰：“沛公{不胜杯杓}，不能辞。	鸿门宴	2
不足为奇	bù zú wéi qí	读	成语	足值得。不值得奇怪。指某种事物或现象很平常，没有什么奇怪的	成语	人乐其大而忘其私，不然则公{不足为奇}。	《祭范德孺文》	2
东曦既驾	dōng xī jì jià	写	成语	太阳已经升起	课本	{东曦既驾}，僵卧长愁。	促织	2
中音	zhòng yīn	读	课本	合乎音律	课本	庖丁为文惠君解牛，手之所触，肩之所倚，足之所履，膝之所踦，砉然向然，奏刀騞然，莫不{中音}。	庖丁解牛	2
举世混浊	jǔ shì hún zhuó	读	成语	举全；混浊不清明。世上所有的人都不清不白。比喻世道昏暗	成语	{举世混浊}，何不随其流而扬其波？	屈原列传	2
书札	shū zhá	写	词典	书信客从远方来，遗我一书札	新华	二□在以下三个有关小说表达手法的任务中，选择两个完成，并就其中之一写一则读{书札}记。	变形记（节选）	2
云集响应	yún jí xiǎng yìng	读	成语	大家迅速集合在一起，表示赞同和支持	成语	揭竿为旗，天下{云集响应}	过秦论	2
五尺之僮	wǔ chǐ zhī tóng	写	成语	指儿童、小孩子	课本	外无期功强近之亲，内无应门{五尺之僮}，茕茕孑立，形影相吊。	陈情表	2
五陵年少	wǔ líng nián shào	读	成语	指京城富家豪族子弟	课本	{五陵年少}争缠头，一曲红绡不知数。	琵琶行并序	2
井陉	jǐng xíng	写	词典	山名。太行山的支脉。有要隘名井陉口，又称土门关。秦汉时为军事要地	新华	在进攻{井陉}煤矿的战斗里	大战中的插曲	2
交戟	jiāo jǐ	写	词典	谓卫士执戟相交；有士兵守卫之地。指宫廷	新华	{交戟}之卫士欲止不内。	鸿门宴	2
仄仄	zè zè	写	词典	狭窄	新华	北方人念阵字，总老像是层字，平平{仄仄}起来，这念错的歧韵，倒来得正好。	故都的秋	2
仇雠	chóu chóu	都考	课本	仇人	课本	及{仇雠}已灭，天下已定	五代史伶官传序	2
伏弩	fú nǔ	写	词典	埋伏弓箭手；隐蔽着的用机械发射的弓箭	新华	常能为汉{伏弩}射杀之	苏武传	2
优渥	yōu wò	都考	课本	优厚	课本	今臣亡国贱俘，至微至陋，过蒙拔擢，宠命{优渥}，岂敢盘桓，有所希冀。	陈情表	2
会晤	huì wù	写	词典	会面；会见两国领导人～ㄧ～当地知名人士	新华	无由{会晤}，不任区区向往之至！	答司马谏议书	2
似笑非笑	sì xiào fēi xiào	读	成语	像笑又不笑	成语	后来大家又都知道了她的脾气，只要有孩子在眼前，便{似笑非笑}的先问她。	《彷徨·祝福》	2
何辞为	hé cí wéi	读	课本	何必告辞呢？	课本	如今人方为刀俎，我为鱼肉，{何辞为}？”	鸿门宴	2
便嬖	pián bì	都考	课本	君主左右受宠爱的人	课本	{便嬖}不足使令于前与？	齐桓晋文之事	2
偃仰	yǎn yǎng	写	词典	俯仰，这里指安居、休息	课本	借书满架，{偃仰}啸歌，冥然兀坐，万籁有声；而庭阶寂寂，小鸟时来啄食，人至不去。	项脊轩志	2
偕作	xié zuò	写	词典	一同起来，指共同行动	课本	王于兴师，修我矛戟，与子{偕作}。	无衣	2
傅玑之珥	fù jī zhī ěr	都考	课本	镶嵌着珠子的耳饰	课本	{傅玑之珥}、阿缟之衣	谏逐客书	2
傩神	nuó shén	写	词典	驱除疫鬼的神	新华			2
兜鍪	dōu móu	都考	课本	古代打仗时战士所戴的头盔	课本	笠是{兜鍪}蓑是甲，雨从头上湿到胛。	插秧歌	2
六艺经传	liù yì jīng zhuàn	读	课本	六经的经文和传文	课本	李氏子蟠，年十七，好古文，{六艺经传}皆通习之，不拘于时，学于余。	师说	2
六郡	liù jùn	写	词典	指汉中一带	课本	兵挫地削，亡其{六郡}	屈原列传	2
兰皋	lán gāo	写	词典	长兰草的涯岸	新华	步余马于{兰皋}兮，驰椒丘且焉止息。	离骚（节选）	2
内交	nà jiāo	读	课本	结交	课本	非所以{内交}于孺子之父母也	人皆有不忍人之心	2
冠冕	guān miǎn	写	词典			这是“抛给”的，说得{冠冕}些	拿来主义	2
冥然兀坐	míng rán wù zuò	写	词典	静静地独自端坐	课本	借书满架，偃仰啸歌，{冥然兀坐}，万籁有声；而庭阶寂寂，小鸟时来啄食，人至不去。	项脊轩志	2
凋谢	diāo xiè	写	词典			无比的青春美貌，在疯狂中{凋谢}！	哈姆莱特（节选）	2
凋零	diāo líng	写	词典					2
凛冽	lǐn liè	写	词典	形容极为寒冷北风凛冽｜寒气凛冽	新华	深秋，山风渐渐{凛冽}了，天也黑得越来越早。	哦，香雪	2
